Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,170.75,170.95,168.01,168.36,2164345.0,0.0,1.0,170.75,170.95,168.01,168.36,2164345.0
2018-03-26,168.77,171.0,168.37,170.75,1331967.0,0.0,1.0,168.77,171.0,168.37,170.75,1331967.0
2018-03-23,169.53,169.81,168.06,168.11,1511350.0,0.0,1.0,169.53,169.81,168.06,168.11,1511350.0
2018-03-22,169.55,170.55,169.03,169.45,1669543.0,0.0,1.0,169.55,170.55,169.03,169.45,1669543.0
2018-03-21,171.3,172.1,169.9,170.01,1402002.0,0.0,1.0,171.3,172.1,169.9,170.01,1402002.0
2018-03-20,172.29,172.77,171.01,171.63,1761849.0,0.0,1.0,172.29,172.77,171.01,171.63,1761849.0
2018-03-19,173.9,174.26,171.54,172.06,1396713.0,0.0,1.0,173.9,174.26,171.54,172.06,1396713.0
2018-03-16,174.88,175.19,173.85,173.91,1704349.0,0.0,1.0,174.88,175.19,173.85,173.91,1704349.0
2018-03-15,176.5,176.86,174.151,174.59,1865866.0,0.0,1.0,176.5,176.86,174.151,174.59,1865866.0
2018-03-14,177.58,177.68,176.16,176.62,1885201.0,0.0,1.0,177.58,177.68,176.16,176.62,1885201.0
2018-03-13,177.46,177.62,176.8742,177.44,2328371.0,0.0,1.0,177.46,177.62,176.8742,177.44,2328371.0
2018-03-12,177.4,178.12,177.07,177.07,3338736.0,0.0,1.0,177.4,178.12,177.07,177.07,3338736.0
2018-03-09,176.81,178.02,176.14,177.38,1428683.0,0.0,1.0,176.81,178.02,176.14,177.38,1428683.0
2018-03-08,178.49,178.53,175.61,176.25,3263872.0,0.0,1.0,178.49,178.53,175.61,176.25,3263872.0
2018-03-07,177.5,178.64,177.02,178.64,2097535.0,0.0,1.0,177.5,178.64,177.02,178.64,2097535.0
2018-03-06,178.6,178.67,177.59,178.23,1346995.0,0.0,1.0,178.6,178.67,177.59,178.23,1346995.0
2018-03-05,177.2,178.91,176.74,178.46,1736775.0,0.0,1.0,177.2,178.91,176.74,178.46,1736775.0
2018-03-02,176.22,177.83,175.56,177.53,1386502.0,0.0,1.0,176.22,177.83,175.56,177.53,1386502.0
2018-03-01,177.06,178.39,175.921,176.45,1737915.0,0.0,1.0,177.06,178.39,175.921,176.45,1737915.0
2018-02-28,176.67,178.24,176.3435,177.06,2099456.0,0.0,1.0,176.67,178.24,176.3435,177.06,2099456.0
2018-02-27,176.1,177.43,176.02,176.27,1221481.0,0.0,1.0,176.1,177.43,176.02,176.27,1221481.0
2018-02-26,175.83,176.53,174.92,175.75,1515096.0,0.0,1.0,175.83,176.53,174.92,175.75,1515096.0
2018-02-23,175.12,176.04,174.27,175.55,1801579.0,0.0,1.0,175.12,176.04,174.27,175.55,1801579.0
2018-02-22,176.54,176.89,174.99,175.06,1411836.0,0.0,1.0,176.54,176.89,174.99,175.06,1411836.0
2018-02-21,178.0,178.66,175.77,175.77,3269181.0,0.0,1.0,178.0,178.66,175.77,175.77,3269181.0
2018-02-20,178.0,178.69,176.66,178.03,1705057.0,0.0,1.0,178.0,178.69,176.66,178.03,1705057.0
2018-02-16,176.74,178.87,176.63,178.51,2135227.0,0.0,1.0,176.74,178.87,176.63,178.51,2135227.0
2018-02-15,177.28,178.02,175.89,177.17,2269461.0,0.0,1.0,177.28,178.02,175.89,177.17,2269461.0
2018-02-14,177.81,178.57,176.73,176.77,1912793.0,0.0,1.0,177.81,178.57,176.73,176.77,1912793.0
2018-02-13,177.04,178.75,176.82,178.52,2010730.0,0.0,1.0,177.04,178.75,176.82,178.52,2010730.0
2018-02-12,176.58,178.86,175.4,177.38,4541018.0,0.0,1.0,176.58,178.86,175.4,177.38,4541018.0
2018-02-09,178.66,178.85,173.61,176.39,4039244.0,0.0,1.0,178.66,178.85,173.61,176.39,4039244.0
2018-02-08,181.8,181.9,178.0,178.0,3686735.0,0.0,1.0,181.8,181.9,178.0,178.0,3686735.0
2018-02-07,181.49,184.12,181.39,181.49,2048437.0,0.0,1.0,181.49,184.12,181.39,181.49,2048437.0
2018-02-06,179.36,183.51,178.8,182.01,3283397.0,0.0,1.0,179.36,183.51,178.8,182.01,3283397.0
2018-02-05,184.49,185.39,180.78,180.95,2873299.0,0.0,1.0,184.49,185.39,180.78,180.95,2873299.0
2018-02-02,186.7,187.39,184.57,185.0,2185294.0,0.0,1.0,186.7,187.39,184.57,185.0,2185294.0
2018-02-01,186.52,188.85,186.16,187.39,2581854.0,0.0,1.0,186.52,188.85,186.16,187.39,2581854.0
2018-01-31,188.65,190.57,186.82,186.82,3295180.0,0.0,1.0,188.65,190.57,186.82,186.82,3295180.0
2018-01-30,186.26,189.79,185.41,187.89,6406564.0,0.0,1.0,186.26,189.79,185.41,187.89,6406564.0
2018-01-29,192.96,194.4,192.56,193.74,1329796.0,0.0,1.0,192.96,194.4,192.56,193.74,1329796.0
2018-01-26,192.72,193.1,191.56,193.1,2708492.0,0.0,1.0,192.72,193.1,191.56,193.1,2708492.0
2018-01-25,190.14,192.93,190.0,191.87,2599831.0,0.0,1.0,190.14,192.93,190.0,191.87,2599831.0
2018-01-24,189.47,190.94,189.47,190.14,2461809.0,0.0,1.0,189.47,190.94,189.47,190.14,2461809.0
2018-01-23,189.0,189.635,188.12,189.31,1966012.0,0.0,1.0,189.0,189.635,188.12,189.31,1966012.0
2018-01-22,188.4,189.61,188.0,189.34,2505745.0,0.0,1.0,188.4,189.61,188.0,189.34,2505745.0
2018-01-19,186.03,187.95,185.355,187.8,3409665.0,0.0,1.0,186.03,187.95,185.355,187.8,3409665.0
2018-01-18,184.88,186.41,184.88,185.49,2167408.0,0.0,1.0,184.88,186.41,184.88,185.49,2167408.0
2018-01-17,185.17,185.66,184.135,185.1,1771064.0,0.0,1.0,185.17,185.66,184.135,185.1,1771064.0
2018-01-16,184.44,185.39,184.17,184.64,2316425.0,0.0,1.0,184.44,185.39,184.17,184.64,2316425.0
2018-01-12,184.3,185.17,183.71,184.2,2413635.0,0.0,1.0,184.3,185.17,183.71,184.2,2413635.0
2018-01-11,183.43,184.36,183.34,184.21,3589068.0,0.0,1.0,183.43,184.36,183.34,184.21,3589068.0
2018-01-10,182.31,184.01,182.2,183.48,4145923.0,0.0,1.0,182.31,184.01,182.2,183.48,4145923.0
2018-01-09,184.58,185.529,182.0,183.6,3749120.0,0.0,1.0,184.58,185.529,182.0,183.6,3749120.0
2018-01-08,185.47,186.36,184.65,184.65,2040902.0,0.0,1.0,185.47,186.36,184.65,184.65,2040902.0
2018-01-05,183.7,186.0,183.5,185.81,4466209.0,0.0,1.0,183.7,186.0,183.5,185.81,4466209.0
2018-01-04,181.87,184.39,181.84,183.37,3314323.0,0.0,1.0,181.87,184.39,181.84,183.37,3314323.0
2018-01-03,180.75,181.96,180.1,181.8,2331904.0,0.0,1.0,180.75,181.96,180.1,181.8,2331904.0
2018-01-02,180.94,181.96,180.06,180.69,2541951.0,0.0,1.0,180.94,181.96,180.06,180.69,2541951.0
